RG,,,,,,,,,,,,,,,,,,,,,,,,
Hour,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
"Scenario SB,  Case DH",936.9937988,936.9934695,936.993792,936.9908749,936.9899607,936.9914811,936.9906936,555.0180854,555.018084,555.0180756,555.0180842,555.0180587,936.9878493,936.9910626,936.9922777,936.9917309,555.0180793,936.9236946,936.9909733,936.9915876,936.9916332,936.9901278,674.2293859,630.4454672
"Scenario SB,  Case DL",732.5991539,732.5937005,732.6125281,732.608837,732.6019428,732.6060438,761.7829698,499.216192,499.2192017,499.319244,499.2548047,499.2447565,499.1985715,761.7810276,761.7794727,761.779263,499.2356974,499.2547081,761.7810769,761.7820905,761.7792506,732.6241183,479.2291327,478.0993648
"Scenario SB,  Case EH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Scenario SB,  Case EL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"Scenario PD, Case D",922.3929173,922.3931931,893.1986983,893.1935581,893.1945876,893.1960823,893.2175583,776.9012242,776.9216979,776.883352,776.9254839,776.9174946,776.8705102,893.1990559,893.2069266,893.2093213,776.9078522,776.8623804,893.1975862,893.1974916,893.1995272,893.2079484,674.2327234,615.8396567
"Scenario PD, Case E",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"Scenario SHP,  Case DH",937.002582,936.9940718,936.9960822,936.9914582,936.9904721,936.990698,951.5897257,669.9337328,669.9457177,669.996039,669.971778,669.9848595,951.5905663,951.5980603,951.5909438,951.5903632,670.0202796,951.6015851,951.5977023,951.5939838,951.5926974,951.5997549,674.2306054,630.4399964
"Scenario SHP,  Case DL",718.0169367,718.0171071,718.0177961,718.0181194,718.0177665,718.0183997,747.2076398,442.5856453,442.5856439,451.2342863,451.2342968,451.2342964,549.999988,761.8072883,761.8091435,761.8073374,451.2343063,451.2343412,761.8053819,761.8071828,761.8056458,732.9771007,478.9593839,478.9680551
"Scenario SHP,  Case EH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Scenario SHP,  Case EL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
